date,holiday_name
2020-01-01 00:00:00+00:00,Neujahr
2020-01-06 00:00:00+00:00,Heilige Drei Könige
2020-04-13 00:00:00+00:00,Ostermontag
2020-05-01 00:00:00+00:00,Staatsfeiertag
2020-05-21 00:00:00+00:00,Christi Himmelfahrt
2020-06-01 00:00:00+00:00,Pfingstmontag
2020-06-11 00:00:00+00:00,Fronleichnam
2020-08-15 00:00:00+00:00,Mariä Himmelfahrt
2020-10-26 00:00:00+00:00,Nationalfeiertag
2020-11-01 00:00:00+00:00,Allerheiligen
2020-12-08 00:00:00+00:00,Mariä Empfängnis
2020-12-25 00:00:00+00:00,Christtag
2020-12-26 00:00:00+00:00,Stefanitag
2021-01-01 00:00:00+00:00,Neujahr
2021-01-06 00:00:00+00:00,Heilige Drei Könige
2021-04-05 00:00:00+00:00,Ostermontag
2021-05-01 00:00:00+00:00,Staatsfeiertag
2021-05-13 00:00:00+00:00,Christi Himmelfahrt
2021-05-24 00:00:00+00:00,Pfingstmontag
2021-06-03 00:00:00+00:00,Fronleichnam
2021-08-15 00:00:00+00:00,Mariä Himmelfahrt
2021-10-26 00:00:00+00:00,Nationalfeiertag
2021-11-01 00:00:00+00:00,Allerheiligen
2021-12-08 00:00:00+00:00,Mariä Empfängnis
2021-12-25 00:00:00+00:00,Christtag
2021-12-26 00:00:00+00:00,Stefanitag
2022-01-01 00:00:00+00:00,Neujahr
2022-01-06 00:00:00+00:00,Heilige Drei Könige
2022-04-18 00:00:00+00:00,Ostermontag
2022-05-01 00:00:00+00:00,Staatsfeiertag
2022-05-26 00:00:00+00:00,Christi Himmelfahrt
2022-06-06 00:00:00+00:00,Pfingstmontag
2022-06-16 00:00:00+00:00,Fronleichnam
2022-08-15 00:00:00+00:00,Mariä Himmelfahrt
2022-10-26 00:00:00+00:00,Nationalfeiertag
2022-11-01 00:00:00+00:00,Allerheiligen
2022-12-08 00:00:00+00:00,Mariä Empfängnis
2022-12-25 00:00:00+00:00,Christtag
2022-12-26 00:00:00+00:00,Stefanitag
2023-01-01 00:00:00+00:00,Neujahr
2023-01-06 00:00:00+00:00,Heilige Drei Könige
2023-04-10 00:00:00+00:00,Ostermontag
2023-05-01 00:00:00+00:00,Staatsfeiertag
2023-05-18 00:00:00+00:00,Christi Himmelfahrt
2023-05-29 00:00:00+00:00,Pfingstmontag
2023-06-08 00:00:00+00:00,Fronleichnam
2023-08-15 00:00:00+00:00,Mariä Himmelfahrt
2023-10-26 00:00:00+00:00,Nationalfeiertag
2023-11-01 00:00:00+00:00,Allerheiligen
2023-12-08 00:00:00+00:00,Mariä Empfängnis
2023-12-25 00:00:00+00:00,Christtag
2023-12-26 00:00:00+00:00,Stefanitag
2024-01-01 00:00:00+00:00,Neujahr
2024-01-06 00:00:00+00:00,Heilige Drei Könige
2024-04-01 00:00:00+00:00,Ostermontag
2024-05-01 00:00:00+00:00,Staatsfeiertag
2024-05-09 00:00:00+00:00,Christi Himmelfahrt
2024-05-20 00:00:00+00:00,Pfingstmontag
2024-05-30 00:00:00+00:00,Fronleichnam
2024-08-15 00:00:00+00:00,Mariä Himmelfahrt
2024-10-26 00:00:00+00:00,Nationalfeiertag
2024-11-01 00:00:00+00:00,Allerheiligen
2024-12-08 00:00:00+00:00,Mariä Empfängnis
2024-12-25 00:00:00+00:00,Christtag
2024-12-26 00:00:00+00:00,Stefanitag
2025-01-01 00:00:00+00:00,Neujahr
2025-01-06 00:00:00+00:00,Heilige Drei Könige
2025-04-21 00:00:00+00:00,Ostermontag
2025-05-01 00:00:00+00:00,Staatsfeiertag
2025-05-29 00:00:00+00:00,Christi Himmelfahrt
2025-06-09 00:00:00+00:00,Pfingstmontag
2025-06-19 00:00:00+00:00,Fronleichnam
2025-08-15 00:00:00+00:00,Mariä Himmelfahrt
2025-10-26 00:00:00+00:00,Nationalfeiertag
2025-11-01 00:00:00+00:00,Allerheiligen
2025-12-08 00:00:00+00:00,Mariä Empfängnis
2025-12-25 00:00:00+00:00,Christtag
2025-12-26 00:00:00+00:00,Stefanitag
