Time (UTC),mean_global_radiation,mean_wind_speed,precipitation_mm,temperature_2m_C
2020-01-01 00:00:00+00:00,0,1.3,0,-3.35
2020-01-01 00:15:00+00:00,0,0.7,0,-3.6
2020-01-01 00:30:00+00:00,0,1.3,0,-3.6
2020-01-01 00:45:00+00:00,0,1.3,0,-3.4
2020-01-01 01:00:00+00:00,0,1.25,0,-3.8
2020-01-01 01:15:00+00:00,0,0.9,0,-4.7
2020-01-01 01:30:00+00:00,0,1.2,0,-4.8
2020-01-01 01:45:00+00:00,0,1.7,0,-4.2
2020-01-01 02:00:00+00:00,0,1.25,0,-4.3
2020-01-01 02:15:00+00:00,0,1.2,0,-4.5
2020-01-01 02:30:00+00:00,0,0.95,0,-4.6
2020-01-01 02:45:00+00:00,0,0.7,0,-4.8
2020-01-01 03:00:00+00:00,0,1.1,0,-4.55
2020-01-01 03:15:00+00:00,0,1.8,0,-4.5
2020-01-01 03:30:00+00:00,0,1.05,0,-4.65
2020-01-01 03:45:00+00:00,0,1.3,0,-4.7
2020-01-01 04:00:00+00:00,0,1.15,0,-4.8
2020-01-01 04:15:00+00:00,0,1.3,0,-4.9
2020-01-01 04:30:00+00:00,0,1.2,0,-5.05
2020-01-01 04:45:00+00:00,0,1.3,0,-5.1
2020-01-01 05:00:00+00:00,0,1.35,0,-4.95
2020-01-01 05:15:00+00:00,0,1.3,0,-5.1
2020-01-01 05:30:00+00:00,0,1.05,0,-5.15
2020-01-01 05:45:00+00:00,0,1.2,0,-5.3
2020-01-01 06:00:00+00:00,0,1.35,0,-5.3
2020-01-01 06:15:00+00:00,0,1.4,0,-5.4
2020-01-01 06:30:00+00:00,0.5,1.35,0,-5.3
2020-01-01 06:45:00+00:00,3,1.2,0,-5.5
2020-01-01 07:00:00+00:00,11.5,1.5,0,-5.45
2020-01-01 07:15:00+00:00,30,1.7,0,-5.2
2020-01-01 07:30:00+00:00,55,1.45,0,-4.95
2020-01-01 07:45:00+00:00,82,2,0,-4.6
2020-01-01 08:00:00+00:00,109.5,1.65,0,-4.55
2020-01-01 08:15:00+00:00,137,0.9,0,-4.2
2020-01-01 08:30:00+00:00,167.5,0.9,0,-3.65
2020-01-01 08:45:00+00:00,198,1,0,-2.7
2020-01-01 09:00:00+00:00,221.5,1.25,0,-2.3
2020-01-01 09:15:00+00:00,246,1,0,-1.5
2020-01-01 09:30:00+00:00,265,0.7,0,-0.85
2020-01-01 09:45:00+00:00,284,1.1,0,0
2020-01-01 10:00:00+00:00,297,1,0,0.25
2020-01-01 10:15:00+00:00,310,1.5,0,0.7
2020-01-01 10:30:00+00:00,318,1.4,0,0.65
2020-01-01 10:45:00+00:00,326,1.3,0,1
2020-01-01 11:00:00+00:00,330,1.15,0,1.6
2020-01-01 11:15:00+00:00,330,1.5,0,1.8
2020-01-01 11:30:00+00:00,323.5,1.9,0,1.9
2020-01-01 11:45:00+00:00,317,2.2,0,2
2020-01-01 12:00:00+00:00,308.5,2.3,0,2.45
2020-01-01 12:15:00+00:00,296,2.4,0,2.8
2020-01-01 12:30:00+00:00,281.5,2.15,0,2.8
2020-01-01 12:45:00+00:00,264,1.7,0,3
2020-01-01 13:00:00+00:00,241,2.2,0,3.1
2020-01-01 13:15:00+00:00,218,2.1,0,3.3
2020-01-01 13:30:00+00:00,193,1.75,0,3.35
2020-01-01 13:45:00+00:00,164,2,0,3.3
2020-01-01 14:00:00+00:00,136,2.25,0,3.2
2020-01-01 14:15:00+00:00,108,2.5,0,2.9
2020-01-01 14:30:00+00:00,79.5,1.95,0,2.45
2020-01-01 14:45:00+00:00,52,1.8,0,1.8
2020-01-01 15:00:00+00:00,21,1.1,0,1.4
2020-01-01 15:15:00+00:00,7,0.8,0,1.1
2020-01-01 15:30:00+00:00,2.5,1.05,0,0.7
2020-01-01 15:45:00+00:00,0,1.3,0,0.2
2020-01-01 16:00:00+00:00,0,0.95,0,-0.45
2020-01-01 16:15:00+00:00,0,0.5,0,-1.1
2020-01-01 16:30:00+00:00,0,1.25,0,-1.25
2020-01-01 16:45:00+00:00,0,1.4,0,-0.9
2020-01-01 17:00:00+00:00,0,1.35,0,-1.3
2020-01-01 17:15:00+00:00,0,0.9,0,-1.6
2020-01-01 17:30:00+00:00,0,1.05,0,-1.85
2020-01-01 17:45:00+00:00,0,0.8,0,-2.1
2020-01-01 18:00:00+00:00,0,1,0,-2.25
2020-01-01 18:15:00+00:00,0,1.2,0,-2
2020-01-01 18:30:00+00:00,0,0.75,0,-2.3
2020-01-01 18:45:00+00:00,0,0.9,0,-2.7
2020-01-01 19:00:00+00:00,0,1.05,0,-2.65
2020-01-01 19:15:00+00:00,0,1.3,0,-2.6
2020-01-01 19:30:00+00:00,0,1.45,0,-2.75
2020-01-01 19:45:00+00:00,0,1.7,0,-2.7
2020-01-01 20:00:00+00:00,0,1.2,0,-2.85
2020-01-01 20:15:00+00:00,0,0.8,0,-2.9
2020-01-01 20:30:00+00:00,0,1.1,0,-3.05
2020-01-01 20:45:00+00:00,0,1.4,0,-3.2
2020-01-01 21:00:00+00:00,0,1.45,0,-3.3
2020-01-01 21:15:00+00:00,0,1.2,0,-3.3
2020-01-01 21:30:00+00:00,0,1.25,0,-3.45
2020-01-01 21:45:00+00:00,0,1.2,0,-3.4
2020-01-01 22:00:00+00:00,0,1.5,0,-3.35
2020-01-01 22:15:00+00:00,0,1.5,0,-3.6
2020-01-01 22:30:00+00:00,0,1.6,0,-3.65
2020-01-01 22:45:00+00:00,0,1.9,0,-3.9
2020-01-01 23:00:00+00:00,0,1.2,0,-3.95
2020-01-01 23:15:00+00:00,0,1.6,0,-4.1
2020-01-01 23:30:00+00:00,0,1.45,0,-4.05
2020-01-01 23:45:00+00:00,0,0.9,0,-4.2
2020-01-02 00:00:00+00:00,0,1.3,0,-4.35
2020-01-02 00:15:00+00:00,0,1.7,0,-4.2
2020-01-02 00:30:00+00:00,0,1.4,0,-4.15
2020-01-02 00:45:00+00:00,0,1.1,0,-4.4
2020-01-02 01:00:00+00:00,0,1.2,0,-4.5
2020-01-02 01:15:00+00:00,0,1.6,0,-4.4
2020-01-02 01:30:00+00:00,0,1.15,0,-4.75
2020-01-02 01:45:00+00:00,0,1.1,0,-4.9
2020-01-02 02:00:00+00:00,0,1.05,0,-5.1
2020-01-02 02:15:00+00:00,0,1.1,0,-5.1
2020-01-02 02:30:00+00:00,0,0.8,0,-5.5
2020-01-02 02:45:00+00:00,0,0.7,0,-5.7
2020-01-02 03:00:00+00:00,0,1,0,-6.05
2020-01-02 03:15:00+00:00,0,1.1,0,-5.7
2020-01-02 03:30:00+00:00,0,0.8,0,-6.05
2020-01-02 03:45:00+00:00,0,0.8,0,-6.1
2020-01-02 04:00:00+00:00,0,1.05,0,-6.1
2020-01-02 04:15:00+00:00,0,1.3,0,-5.9
2020-01-02 04:30:00+00:00,0,1.2,0,-6
2020-01-02 04:45:00+00:00,0,0.9,0,-6.1
2020-01-02 05:00:00+00:00,0,1.1,0,-6.1
2020-01-02 05:15:00+00:00,0,1.3,0,-6.2
2020-01-02 05:30:00+00:00,0,0.9,0,-6.1
2020-01-02 05:45:00+00:00,0,0.8,0,-6.2
2020-01-02 06:00:00+00:00,0,0.5,0,-6.15
2020-01-02 06:15:00+00:00,0,0.4,0,-6.1
2020-01-02 06:30:00+00:00,1,0.7,0,-6.05
2020-01-02 06:45:00+00:00,3,0.9,0,-5.9
2020-01-02 07:00:00+00:00,8.5,0.85,0,-5.45
2020-01-02 07:15:00+00:00,17,0.6,0,-5.2
2020-01-02 07:30:00+00:00,28,0.8,0,-5.05
2020-01-02 07:45:00+00:00,41,1,0,-5
2020-01-02 08:00:00+00:00,60,0.7,0,-4.95
2020-01-02 08:15:00+00:00,67,0.6,0,-4.9
2020-01-02 08:30:00+00:00,89.5,0.55,0,-4.65
2020-01-02 08:45:00+00:00,116,0.3,0,-4.4
2020-01-02 09:00:00+00:00,161.5,0.7,0,-4.05
2020-01-02 09:15:00+00:00,240,0.7,0,-3.4
2020-01-02 09:30:00+00:00,274,0.8,0,-2.4
2020-01-02 09:45:00+00:00,153,1,0,-2.5
2020-01-02 10:00:00+00:00,303,1.1,0,-2
2020-01-02 10:15:00+00:00,254,1.5,0,-2.1
2020-01-02 10:30:00+00:00,265,1.65,0,-1.8
2020-01-02 10:45:00+00:00,308,2,0,-1.4
2020-01-02 11:00:00+00:00,322,1.35,0,-0.85
2020-01-02 11:15:00+00:00,342,1.1,0,-0.5
2020-01-02 11:30:00+00:00,338,1,0,0.3
2020-01-02 11:45:00+00:00,332,1.4,0,1
2020-01-02 12:00:00+00:00,316,1.8,0,0.95
2020-01-02 12:15:00+00:00,303,1.6,0,0.8
2020-01-02 12:30:00+00:00,289.5,2.45,0,0.85
2020-01-02 12:45:00+00:00,271,2.7,0,0.9
2020-01-02 13:00:00+00:00,251,2.5,0,0.95
2020-01-02 13:15:00+00:00,228,2.2,0,1.2
2020-01-02 13:30:00+00:00,202,1.55,0,1.45
2020-01-02 13:45:00+00:00,173,2.1,0,1.6
2020-01-02 14:00:00+00:00,142.5,1.95,0,1.5
2020-01-02 14:15:00+00:00,112,2.5,0,1.2
2020-01-02 14:30:00+00:00,82,2.4,0,0.9
2020-01-02 14:45:00+00:00,54,1.9,0,0.2
2020-01-02 15:00:00+00:00,22,1.7,0,-0.2
2020-01-02 15:15:00+00:00,7,1.5,0,-0.7
2020-01-02 15:30:00+00:00,2,0.7,0,-1.2
2020-01-02 15:45:00+00:00,0,0.6,0,-1.1
2020-01-02 16:00:00+00:00,0,0.6,0,-1.15
2020-01-02 16:15:00+00:00,0,0.9,0,-1.5
2020-01-02 16:30:00+00:00,0,0.85,0,-1.75
2020-01-02 16:45:00+00:00,0,1.1,0,-2.1
2020-01-02 17:00:00+00:00,0,1.5,0,-2.2
2020-01-02 17:15:00+00:00,0,1.1,0,-2.3
2020-01-02 17:30:00+00:00,0,0.6,0,-2.45
2020-01-02 17:45:00+00:00,0,1,0,-2
2020-01-02 18:00:00+00:00,0,0.9,0,-2.75
2020-01-02 18:15:00+00:00,0,0.4,0,-3.1
2020-01-02 18:30:00+00:00,0,0.7,0,-3.1
2020-01-02 18:45:00+00:00,0,1.5,0,-2.7
2020-01-02 19:00:00+00:00,0,2.05,0,-2.65
2020-01-02 19:15:00+00:00,0,1.3,0,-2.8
2020-01-02 19:30:00+00:00,0,1.6,0,-3.1
2020-01-02 19:45:00+00:00,0,0.7,0,-3.4
2020-01-02 20:00:00+00:00,0,0.65,0,-4
2020-01-02 20:15:00+00:00,0,1.1,0,-3.9
2020-01-02 20:30:00+00:00,0,0.75,0,-3.75
2020-01-02 20:45:00+00:00,0,1.1,0,-4.2
2020-01-02 21:00:00+00:00,0,1.1,0,-4.05
2020-01-02 21:15:00+00:00,0,1.5,0,-3.6
2020-01-02 21:30:00+00:00,0,1.1,0,-3.95
2020-01-02 21:45:00+00:00,0,0.6,0,-4.1
2020-01-02 22:00:00+00:00,0,0.95,0,-4.3
2020-01-02 22:15:00+00:00,0,1,0,-4.4
2020-01-02 22:30:00+00:00,0,1,0,-4.9
2020-01-02 22:45:00+00:00,0,0.4,0,-5.7
2020-01-02 23:00:00+00:00,0,0.35,0,-6
2020-01-02 23:15:00+00:00,0,0.5,0,-6.2
2020-01-02 23:30:00+00:00,0,1.1,0,-5.8
2020-01-02 23:45:00+00:00,0,1,0,-5.6
2020-01-03 00:00:00+00:00,0,1.2,0,-5.65
2020-01-03 00:15:00+00:00,0,1,0,-5.6
2020-01-03 00:30:00+00:00,0,1.6,0,-5.45
2020-01-03 00:45:00+00:00,0,0.9,0,-5.6
2020-01-03 01:00:00+00:00,0,1.1,0,-5.4
2020-01-03 01:15:00+00:00,0,0.7,0,-5.7
2020-01-03 01:30:00+00:00,0,0.6,0,-6.2
2020-01-03 01:45:00+00:00,0,0.6,0,-6
2020-01-03 02:00:00+00:00,0,0.8,0,-6.25
